NewApp,Postmaster General,Last,Office,Month,County,Year,President,Day,First
0,25,Cochran,ORA,1,Angelina,1886,14,14,Mrs. Elvira
0,26,Moore,ORA,4,Angelina,1891,15,11,Mrs. Sue A.
0,26,Cochran,ORA,9,Angelina,1892,15,9,Frances M.
0,26,Baird,ORA,9,Angelina,1893,16,28,Lewis E.
0,26,Cochran,ORA,5,Angelina,1894,16,1,Elvira
0,26,Cochran,ORA,9,Angelina,1896,16,8,Calvin J.
0,27,Baird,ORA,4,Angelina,1898,17,1,Lewis E.
0,28,Russell,ORA,10,Angelina,1900,17,11,Jos. G.
0,28,McIntosh,ORA,4,Angelina,1901,18,29,Geo. W.
0,28,Jeanes,ORA,10,Angelina,1901,19,23,Thos. W.
1,25,McKnight,POLLOK,11,Angelina,1886,14,9,Jas. G.
0,29,Langill,POLLOK,5,Angelina,1902,19,29,Ollie
1,26,Boykin,POPHER,4,Angelina,1890,15,21,Martha A.
0,26,Ivy,POPHER,12,Angelina,1894,16,14,Martha A.
0,26,Truett,POPHER,1,Angelina,1896,16,29,Sarah E.
0,26,Ivy,POPHER,12,Angelina,1894,16,14,Martha A.
1,23,Rhodes,RHODES,6,Angelina,1883,13,25,Harris
0,23,McMickle,RHODES,9,Angelina,1884,13,15,Homer V.
0,25,McMickle,RHODES,4,Angelina,1885,14,29,Wm. D.
0,25,Stovall,RHODES,3,Angelina,1886,14,2,David M.
1,17,Barge,SHAWNEE CREEK,7,Angelina,1875,10,26,C. M.
1,20,Gann,WILMOTH,7,Angelina,1880,11,13,Nathan W.
1,26,Barge,YUNO,11,Angelina,1892,15,18,Colin M.
1,28,Fondren,ZAVALLA,1,Angelina,1901,17,19,Jesse C.
0,28,Nolen,ZAVALLA,7,Angelina,1901,18,3,Philip H.
1,26,Holden,ARANSAS CITY,8,Aransas,1888,14,6,Elbridge G.
1,26,Black,ARANSAS HARBOR,8,Aransas,1890,15,27,Chas. T.
-50,26,McCangham,ARANSAS PASS [1],12,Aransas,1889,15,16,Lee N.
1,26,Black,ARANSAS PASS [2],8,Aransas,1892,15,26,Chas. T.
1,19,Humphreys,ARANSAS PASS LIGHTHOUSE,4,Aransas,1879,11,7,P. W.
0,22,Mitchell,ARANSAS PASS LIGHTHOUSE,2,Aransas,1882,13,24,J. C.
0,26,Rothlisberger,FALKNER,2,Aransas,1892,15,16,Jacob
0,26,Walker,FALKNER,9,Aransas,1892,15,16,Mary E.
0,25,Holden,FULTON,7,Aransas,1886,14,22,Elbridge G.
0,26,Holden,FULTON,9,Aransas,1890,15,12,Elbridge G.
0,26,Walsh,FULTON,1,Aransas,1895,16,5,Robt. F.
1,25,Ayers,GREGORY,3,Aransas,1887,14,8,Frank
0,26,Johnson,LAMAR,9,Aransas,1895,16,7,Albert L.
0,15,Russell,ROCKPORT,8,Aransas,1873,10,1,Lyman B.
0,15,Williamson,ROCKPORT,1,Aransas,1874,10,28,Willis A.
0,17,Bracht,ROCKPORT,7,Aransas,1875,10,12,Victor
0,25,Bonham,ROCKPORT,9,Aransas,1885,14,1,Jas. H.
0,26,Tally,ROCKPORT,5,Aransas,1889,15,16,Thos. L.
0,26,McCaughan,ROCKPORT,7,Aransas,1889,15,15,Lee N.
-1,26,McCaughan,ROCKPORT,12,Aransas,1891,15,23,Lee N.
0,26,Wood,ROCKPORT,12,Aransas,1893,16,21,Wm. W.
0,27,Soule,ROCKPORT,3,Aransas,1898,17,31,E. L.
1,28,Evans,SPORT,3,Aransas,1899,17,6,Carl R.
0,28,Brice,SPORT,1,Aransas,1901,17,10,Austin R. A.
1,19,Hutto,ARCHER,6,Archer,1878,11,24,Capers B.
0,19,Hutchison,ARCHER,4,Archer,1879,11,22,Wm. B.
0,23,Baughman,ARCHER,3,Archer,1884,13,24,Mikel J.
0,25,Thompson,ARCHER,1,Archer,1887,14,3,Benj. F.
0,26,Sanders,ARCHER,12,Archer,1888,14,7,Chas. J.
-1,26,Hart,ARCHER CITY,4,Archer,1892,15,8,Lillian
0,26,Purcell,ARCHER CITY,11,Archer,1893,16,15,John
0,27,Gillespie,ARCHER CITY,4,Archer,1898,17,6,Thos. M.
0,28,Benoist,ARCHER CITY,7,Archer,1901,18,15,Napoleon A.
1,26,Long,ATWOOD,3,Archer,1892,15,10,Arthur B.
0,26,Speed,ATWOOD,11,Archer,1892,15,17,Henry L.
2,28,Rambo,ATWOOD,1,Archer,1899,17,31,John W.
0,28,Colgan,ATWOOD,8,Archer,1900,17,30,Enoch
0,28,Logan,ATWOOD,11,Archer,1901,19,7,Wm. L.
0,28,Colgan,ATWOOD,8,Archer,1900,17,30,Enoch
0,28,Colgan,ATWOOD,8,Archer,1900,17,30,Enoch
1,26,Bachman,BOWMAN,9,Archer,1896,16,16,Howard J.
1,26,Giddens,DUNDEE,6,Archer,1890,15,30,Mrs. Amanda W.
1,29,Steen,GERALDINE,2,Archer,1902,19,11,John
0,29,Cook,GERALDINE,4,Archer,1902,19,5,Edwin G.
1,26,Smith,HOLLIDAY,11,Archer,1890,15,26,. Willard P.
0,26,Atkins,HOLLIDAY,1,Archer,1894,16,24,Thos. J.
0,26,Morrison,HOLLIDAY,2,Archer,1896,16,5,Franklin P.
0,26,Nolen,HOLLIDAY,1,Archer,1897,16,2,Wm. J.
0,29,Taylor,HOLLIDAY,4,Archer,1902,19,10,Miss Mittie
1,26,Stone,HOWARD,6,Archer,1890,15,7,Lydia N.
0,26,Stewart,HOWARD,5,Archer,1893,16,10,Calvin M.
1,25,Hutton,McCORMICK,2,Archer,1886,14,5,Wm.
0,26,Polk,McCORMICK,4,Archer,1896,16,13,Ann
1,19,Simmons,RIMAN,1,Archer,1878,11,10,Olley K.
1,26,Davis,SOULEMAN,1,Archer,1890,15,24,Phillip W.
