Dif,Ratio
55,1.5
3,2.0
3,4.0
3,2.0
55,2.0
55,3.0
-95,3.0
-223,0.6666666666666666
136,3.0
-95,2.0
-223,2.0
136,2.0
136,0.5
-24,0.3333333333333333
-24,3.0
-24,3.0
10,3.0
10,2.0
-29,3.0
5972,4.5
5972,7.0
3842,1.5
-4850,7.0
-4850,4.0
-693,5.0
5972,2.3333333333333335
-4023,3.0
-2222,0.6666666666666666
-693,1.0
-693,3.0
-2222,2.5
-2594,1.1666666666666667
3842,3.5
-4023,2.5
-4023,2.5
-3558,3.5
-3558,2.0
5972,2.0
-4850,7.0
-2222,1.5
-2594,1.5
-2594,2.5
-3558,9.0
-693,1.0
-2222,0.3333333333333333
3842,0.6
-3558,2.0
3842,1.8333333333333333
-4023,2.3333333333333335
-4850,1.5
-2594,2.0
101,1.5
101,4.0
101,0.6666666666666666
-97,2.0
-97,1.0
-143,2.0
101,1.0
-97,2.0
628,4.0
-655,5.0
-655,10.0
-807,6.0
-1314,4.0
-1314,5.0
866,1.0
628,5.0
-655,4.0
-807,3.0
-641,5.0
628,1.5
-655,1.0
-1314,1.0
-807,2.0
-807,1.5
866,0.5
866,3.0
628,1.0
-641,4.0
-1314,3.0
-641,0.3333333333333333
866,0.5
-1424,0.25
-1424,1.0
-1424,1.6666666666666667
-2347,2.0
2544,1.3333333333333333
2544,2.3333333333333335
2544,1.0
-2200,2.6666666666666665
2457,2.6666666666666665
-2990,2.5
2544,1.6666666666666667
-2200,3.0
2457,6.0
2457,5.0
-2347,9.0
-2200,2.5
-2990,2.0
-2347,1.5
2457,3.5
-447,2.5
-447,1.5
-2990,5.0
-1424,0.5
-2990,3.5
-2347,7.0
-447,2.5
-2200,2.0
-447,0.5
-182,0.6666666666666666
-182,2.0
88,0.3333333333333333
88,0.5
-71,2.0
-71,2.0
88,2.0
-71,2.0
-182,2.0
-182,2.0
174,2.0
-14,2.0
0,2.0
-97,0.5
174,0.5
-221,1.0
-203,0.3333333333333333
113,3.0
-221,2.0
177,4.0
-130,3.0
-221,0.5
-130,2.0
-130,2.0
-130,2.0
177,1.0
177,2.0
-203,0.5
177,0.5
-453,1.0
-453,1.0
-3,2.0
369,4.0
235,2.0
235,3.0
143,2.0
491,1.0
235,2.0
235,5.0
-3,2.0
-3,2.0
491,1.0
369,2.0
369,3.0
143,2.0
369,1.0
491,2.0
-175,0.5
-175,1.5
-175,2.6666666666666665
-175,6.0
-361,3.5
-361,1.5
1130,6.0
-1118,1.5
1130,7.0
-1118,3.0
1219,8.0
-1354,2.0
-1354,1.25
1130,1.0
1130,0.6666666666666666
1219,4.0
-1354,3.0
-361,3.0
-1118,2.3333333333333335
-1118,1.0
1219,5.0
-1354,2.5
-361,0.6666666666666666
1219,1.5
36,2.0
-210,1.5
63,0.6666666666666666
63,3.0
-143,1.5
217,6.0
217,1.3333333333333333
-210,5.0
-11,2.0
-11,2.0
-11,0.3333333333333333
63,3.0
-143,2.0
217,4.0
217,3.0
63,0.3333333333333333
-143,0.3333333333333333
-210,1.0
-2715,1.25
-2715,1.6666666666666667
-2715,5.0
3678,6.0
-4034,1.5
-4736,5.666666666666667
-4736,4.666666666666667
-4572,5.0
-4572,5.0
-4572,9.0
4015,1.5
-4572,4.5
-1779,3.5
-4736,7.5
-1779,0.8333333333333334
3678,5.0
3678,2.0
-4034,1.6666666666666667
-4034,3.6666666666666665
-4736,1.8
3678,5.5
-4034,1.75
4015,3.0
4015,0.5
-1779,1.25
-2715,1.5
4015,2.5
-543,0.75
-543,6.0
-543,1.5
-1779,0.5
-543,2.0
-391,2.5
-391,1.0
-391,3.0
-1486,7.0
-391,1.3333333333333333
-1061,3.0
-1486,0.6666666666666666
16,1.0
-65,2.0
-65,3.0
16,5.0
-1061,6.0
-1486,1.3333333333333333
-1061,2.0
-353,3.0
-353,1.0
-65,6.0
16,1.5
-1486,5.0
-1061,2.0
-353,0.5
-65,3.0
16,2.0
-1770,1.5
-1770,3.0
1909,3.5
-1873,3.0
-1770,2.0
-1700,2.5
