County,ChangeNum,Est,EstNum,Year
Blanco,0,-,109,-
Blanco,0,,1,1858
Blanco,0,,2,1859
Blanco,0,,3,1861
Blanco,0,,2,1862
Blanco,0,,1,1864
Blanco,0,,5,1866
Blanco,0,,2,1873
Blanco,0,,4,1879
Blanco,0,,1,1889
Blanco,0,,5,1893
Blanco,0,,4,1897
Blanco,0,,4,1907
Blanco,0,,2,1913
Blanco,0,,1,1901
Blanco,0,,2,1918
Blanco,0,,3,1922
Blanco,0,,2,1923
Blanco,0,,4,1930
Blanco,0,,3,1882
Blanco,0,,3,1890
Blanco,0,,5,1874
Blanco,0,,1,1910
Blanco,0,,3,1900
Blanco,0,,1,1886
Blanco,0,,1,1917
Blanco,0,,5,1925
Blanco,0,,3,1878
Blanco,0,,3,1880
Blanco,0,,1,1891
Blanco,0,,4,1908
Blanco,0,,1,1912
Blanco,0,,2,1898
Blanco,0,,1,1904
Blanco,0,,1,1892
Blanco,0,,1,1899
Blanco,0,,1,1884
Blanco,0,,1,1870
Blanco,0,,1,1871
Blanco,0,,3,1876
Blanco,0,,1,1877
Blanco,0,,1,1896
Blanco,0,,2,1911
Blanco,0,,1,1919
Blanco,0,,3,1872
Blanco,0,,1,1875
Blanco,0,,1,1883
Blanco,0,,1,1887
Blanco,0,,2,1905
Blanco,0,,1,1906
Blanco,0,,1,1921
Blanco,0,,1,1867
Borden,0,-,31,-
Borden,0,,6,1893
Borden,0,,2,1908
Borden,0,,3,1911
Borden,0,,1,1912
Borden,0,,1,1887
Borden,0,,1,1890
Borden,0,,2,1902
Borden,0,,1,1903
Borden,0,,3,1906
Borden,0,,1,1921
Borden,0,,1,1923
Borden,0,,1,1924
Borden,0,,2,1891
Borden,0,,1,1894
Borden,0,,1,1901
Borden,0,,1,1916
Borden,0,,1,1892
Borden,0,,1,1898
Borden,0,,1,1910
Bosque,0,-,257,-
Bosque,0,,5,1874
Bosque,0,,6,1876
Bosque,0,,8,1877
Bosque,0,,5,1878
Bosque,0,,3,1882
Bosque,0,,4,1884
Bosque,0,,8,1879
