County,Num,Year
Bexar,4,1895
Bexar,2,1907
Bexar,2,1871
Bexar,6,1894
Bexar,6,1886
Bexar,1,1903
Bexar,2,1875
Bexar,6,1857
Bexar,3,1866
Bexar,1,1853
Bexar,4,1856
Bexar,8,1858
Bexar,5,1915
Bexar,2,1850
Bexar,6,1879
Bexar,5,1880
Bexar,5,1861
Bexar,6,1893
Bexar,7,1898
Bexar,4,1899
Bexar,2,1902
Bexar,3,1919
Bexar,2,1923
Bexar,1,1908
Bexar,2,1876
Bexar,1,1869
Bexar,4,1877
Bexar,1,1862
Bexar,4,1897
Bexar,4,1891
Bexar,2,1912
Bexar,2,1924
Bexar,3,1925
Bexar,3,1926
Bexar,4,1883
Bexar,1,1916
Bexar,1,1846
Bexar,1,1848
Bexar,1,1865
Bexar,2,1906
Bexar,2,1921
Bexar,1,1922
Bexar,2,1910
Bexar,1,1920
Bexar,2,1918
Bexar,1,1851
Blanco,109,-
Blanco,1,1858
Blanco,2,1859
Blanco,3,1861
Blanco,2,1862
Blanco,1,1864
Blanco,5,1866
Blanco,2,1873
Blanco,4,1879
Blanco,1,1889
Blanco,5,1893
Blanco,4,1897
Blanco,4,1907
Blanco,2,1913
Blanco,1,1901
Blanco,2,1918
Blanco,3,1922
Blanco,2,1923
Blanco,4,1930
Blanco,3,1882
Blanco,3,1890
Blanco,5,1874
Blanco,1,1910
Blanco,3,1900
Blanco,1,1886
Blanco,1,1917
Blanco,5,1925
Blanco,3,1878
Blanco,3,1880
Blanco,1,1891
Blanco,4,1908
Blanco,1,1912
Blanco,2,1898
Blanco,1,1904
Blanco,1,1892
Blanco,1,1899
Blanco,1,1884
Blanco,1,1870
Blanco,1,1871
Blanco,3,1876
Blanco,1,1877
Blanco,1,1896
Blanco,2,1911
Blanco,1,1919
Blanco,3,1872
Blanco,1,1875
Blanco,1,1883
Blanco,1,1887
Blanco,2,1905
Blanco,1,1906
Blanco,1,1921
Blanco,1,1867
Borden,31,-
Borden,6,1893
Borden,2,1908
Borden,3,1911
Borden,1,1912
Borden,1,1887
Borden,1,1890
Borden,2,1902
Borden,1,1903
Borden,3,1906
Borden,1,1921
Borden,1,1923
