"","Last","First","Office","County","Year","Month","Day","CleanedFirst","Gender","RefineGender"
"198","Formwalt","John A.","PALESTINE","Anderson",1854,"5","5","John","male","male"
"199","Bailey","Eli","PALESTINE","Anderson",1855,"12","29","Eli","male","male"
"200","Bailey","Eli","PALESTINE","Anderson",1861,"7","12","Eli","male","male"
"201","Tunstall","Wm. V.","PALESTINE","Anderson",1865,"12","23","Wm",NA,"male"
"202","Cuthbertson","Thos.","PALESTINE","Anderson",1868,"8","5","Thos",NA,"male"
"203","Hunt","Albert F.","PALESTINE","Anderson",1869,"12","15","Albert","male","male"
"204","Mead","Jas. H.","PALESTINE","Anderson",1870,"5","9","Jas",NA,"male"
"205","Butler","Thos. M.","PALESTINE","Anderson",1871,"3","3","Thos",NA,"male"
"206","Kelly","Geo. D.","PALESTINE","Anderson",1871,"6","20","Geo","male","male"
"207","Pells","Jos. F.","PALESTINE","Anderson",1872,"10","21","Jos","male","male"
"208","Ferguson","Alex.","PALESTINE","Anderson",1886,"2","15","Alex","male","male"
"209","Dilley","Geo. E.","PALESTINE","Anderson",1890,"1","16","Geo","male","male"
"210","McReynolds","Z. A.","PALESTINE","Anderson",1894,"2","16","Z","male","male"
"211","Hall","Thos.","PALESTINE","Anderson",1898,"5","10","Thos",NA,"male"
"212","Burkitt Jr.","Geo. W.","PALESTINE","Anderson",1907,"2","21","Geo","male","male"
"213","Hearne","John R.","PALESTINE","Anderson",1913,"7","3","John","male","male"
"214","Matthews","Robt. C.","PALESTINE","Anderson",1913,"8","1","Robt","male","male"
"215","Welch","Thos. M.","PALESTINE","Anderson",1923,"2","24","Thos",NA,"male"
"216","Stalcup","John J.","PARKER'S BLUFF","Anderson",1870,"8","24","John","male","male"
"217","Williams","Anderson","PARKER'S BLUFF","Anderson",1870,"10","7","Anderson","male","male"
"218","Ward","Fitzhugh","PARKERSVILLE","Anderson",1857,"3","24","Fitzhugh","male","male"
"219","Ward","Fitzhugh","PARKERSVILLE","Anderson",1861,"8","6","Fitzhugh","male","male"
