ChangeNum,Name,EstNum,Year
2,Bee,0,1902
2,Bee,0,1916
2,Bee,0,1917
3,Bee,0,1919
3,Bee,0,1920
1,Bee,0,1923
1,Bee,0,1925
2,Bee,1,1903
6,Bee,3,1907
2,Bee,0,1909
1,Bee,0,1910
4,Bee,1,1912
4,Bee,0,1911
3,Bee,0,1908
0,Bee,4,1860
1,Bee,0,1865
0,Bee,1,1884
0,Bee,1,1878
3,Bee,0,1879
1,Bee,0,1881
2,Bee,0,1882
1,Bee,1,1886
1,Bee,0,1915
3,Bee,0,1921
2,Bee,0,1898
1,Bee,0,1900
0,Bee,1,1926
2,Bee,1,1887
0,Bee,1,1870
2,Bee,0,1924
1,Bee,0,1928
0,Bee,1,1931
1,Bee,0,1918
1,Bell,1,1868
301,Bell,82,-
5,Bell,2,1870
4,Bell,3,1871
0,Bell,1,1860
7,Bell,2,1900
4,Bell,1,1902
4,Bell,1,1903
3,Bell,7,1894
2,Bell,0,1910
5,Bell,1,1914
3,Bell,0,1923
6,Bell,2,1891
6,Bell,2,1892
13,Bell,2,1893
13,Bell,2,1897
2,Bell,0,1905
3,Bell,1,1906
2,Bell,4,1852
1,Bell,0,1853
3,Bell,1,1854
1,Bell,1,1855
1,Bell,0,1856
1,Bell,0,1859
4,Bell,0,1861
1,Bell,0,1864
3,Bell,0,1866
1,Bell,1,1867
1,Bell,4,1872
7,Bell,2,1873
5,Bell,2,1876
3,Bell,1,1877
4,Bell,1,1880
5,Bell,1,1885
13,Bell,2,1889
3,Bell,0,1907
4,Bell,0,1916
1,Bell,0,1919
8,Bell,2,1895
9,Bell,1,1896
10,Bell,0,1898
3,Bell,1,1901
3,Bell,0,1904
5,Bell,0,1912
3,Bell,0,1913
8,Bell,0,1899
0,Bell,3,1884
9,Bell,0,1874
4,Bell,1,1878
7,Bell,2,1886
6,Bell,3,1888
8,Bell,1,1890
5,Bell,0,0
1,Bell,1,1869
4,Bell,5,1881
8,Bell,1,1882
7,Bell,6,1883
3,Bell,0,1909
5,Bell,0,1911
3,Bell,0,1930
1,Bell,0,1931
2,Bell,2,1879
3,Bell,0,1887
5,Bell,0,1917
7,Bell,0,1921
1,Bell,0,1862
2,Bell,1,1857
1,Bell,0,1858
1,Bell,0,1915
2,Bell,2,1908
3,Bell,0,1918
2,Bell,1,1925
0,Bell,1,1850
4,Bell,0,1875
1,Bell,0,1922
2,Bell,0,1920
4,Bexar,1,1896
179,Bexar,102,-
5,Bexar,0,1911
2,Bexar,0,1913
2,Bexar,0,1917
2,Bexar,0,1928
1,Bexar,1,1929
0,Bexar,2,1872
4,Bexar,1,1889
1,Bexar,1,1892
6,Bexar,0,1914
0,Bexar,3,1873
3,Bexar,0,1874
1,Bexar,4,1887
2,Bexar,1,1888
3,Bexar,0,0
4,Bexar,3,1884
2,Bexar,1,1885
4,Bexar,3,1900
6,Bexar,0,1904
3,Bexar,0,1905
0,Bexar,5,1882
0,Bexar,2,1868
4,Bexar,2,1859
5,Bexar,1,1860
0,Bexar,1,1867
3,Bexar,1,1901
2,Bexar,0,1909
3,Bexar,1,1847
1,Bexar,0,1849
0,Bexar,5,1852
6,Bexar,4,1854
4,Bexar,3,1855
