Post Office,County1,County2,County3,State,Region,Subregion,Established,Discontinued,Stamp Rarity Factor,Continuous,GNIS_Match,Score,GNIS_ID,GNIS_Feature,GNIS_Type,GNIS_County,GNIS_State,Latitude,Longitude,Coordinates
ALDINE,Uvalde,,,TX,Midwest,South Midwest,1885,1891,6,Y,FALSE,,,,,,,,,N
ALDINE,Harris,,,TX,Midwest,South Midwest,1896,1935,2,Y,TRUE,100,2005372,Aldine Middle School,School,Harris,TX,29.933587,-95.3555958,Y
ALDRIDGE,Jasper,,,TX,Midwest,South Midwest,1907,1923,3,Y,FALSE,,,,,,,,,N
ALEDO,Parker,,,TX,Midwest,South Midwest,1882,,0,Y,TRUE,100,2731085,Aledo Post Office,Post Office,Parker,TX,32.697374,-97.608424,Y
ALEMAN,Hamilton,,,TX,Midwest,South Midwest,1914,1943,2,Y,TRUE,100,1329344,Aleman,Populated Place,Hamilton,TX,31.6323789,-98.0422539,Y
ALEO,Collin,,,TX,Midwest,South Midwest,1895,1901,5,Y,FALSE,,,,,,,,,N
ALEXANDER,Erath,,,TX,Midwest,South Midwest,1881,1964,1,Y,TRUE,100,1329346,Alexander,Populated Place,Erath,TX,32.0590335,-98.2061509,Y
ALEY,Henderson,,,TX,Midwest,South Midwest,1894,1907,5,Y,TRUE,100,2034834,Aley,Populated Place,Henderson,TX,32.3218114,-96.2571997,Y
ALFALFA,Ochiltree,,,TX,Midwest,South Midwest,1900,1924,3,Y,FALSE,,,,,,,,,N
ALFORD,Sabine,,,TX,Midwest,South Midwest,1896,1896,8,Y,TRUE,100,2575474,Alford Cemetery,Cemetery,Sabine,TX,31.5233333,-93.8125,Y
ALFRED,Henderson,,,TX,Midwest,South Midwest,1848,1850,8,Y,FALSE,,,,,,,,,N
ALFRED,Nueces,,,TX,Midwest,South Midwest,1901,1904,4,Y,TRUE,100,1329355,Alfred,Populated Place,Jim Wells,TX,27.8805767,-97.9847231,Y
ALFRED,Jim Wells,,,TX,Midwest,South Midwest,1905,1954,1,Y,TRUE,100,1329355,Alfred,Populated Place,Jim Wells,TX,27.8805767,-97.9847231,Y
ALGERETA,San Saba,,,TX,Midwest,South Midwest,1885,1890,4,Y,TRUE,87.5,1379331,Algerita,Populated Place,San Saba,TX,31.2279446,-98.8531003,Y
ALGERITA,San Saba,,,TX,Midwest,South Midwest,1914,1959,1,Y,TRUE,100,1379331,Algerita,Populated Place,San Saba,TX,31.2279446,-98.8531003,Y
ALGOA,Galveston,,,TX,Midwest,South Midwest,1897,1959,1,Y,TRUE,100,1329358,Algoa,Populated Place,Galveston,TX,29.4024576,-95.169376,Y
ALGUNA,San Patricio,,,TX,Midwest,South Midwest,1855,1866,7,Y,FALSE,,,,,,,,,N
ALHAMBRA,Hutchinson,,,TX,Midwest,South Midwest,1901,1928,3,Y,FALSE,,,,,,,,,N
ALICE,Jim Wells,,,TX,Midwest,South Midwest,1888,,0,Y,TRUE,100,2731384,Alice Post Office,Post Office,Jim Wells,TX,27.752389,-98.072721,Y
ALIEF,Harris,,,TX,Midwest,South Midwest,1895,,0,Y,TRUE,100,2731999,Alief Post Office,Post Office,Harris,TX,29.7046734,-95.5897385,Y
ALLAH,Hunt,,,TX,Midwest,South Midwest,1875,1878,8,Y,FALSE,,,,,,,,,N
ALLAMOORE,Hudspeth,,,TX,Midwest,South Midwest,1888,1964,1,Y,TRUE,100,1380817,Allamoore,Populated Place,Hudspeth,TX,31.0781881,-105.0035538,Y
ALLARD,Erath,,,TX,Midwest,South Midwest,1895,1896,7,Y,TRUE,100,1329376,Allard Cemetery,Cemetery,Erath,TX,32.2393068,-98.1400395,Y
ALLARDALE,Newton,,,TX,Midwest,South Midwest,1899,1901,6,Y,FALSE,,,,,,,,,N
ALLCORN'S,Washington,,,TX,Midwest,South Midwest,1839,1840,9,Y,FALSE,,,,,,,,,N
